"group_name","day","para","week","name","type","room","prepod","include","exception"
"БАСО-01-19 10.05.03(КБ-1)","1","1","1","Математический анализ","лек","330","Пономарев А.В.","",""
"БАСО-01-19 10.05.03(КБ-1)","1","1","2","Математический анализ","лек","330","Пономарев А.В.","","'10'"
"БАСО-01-19 10.05.03(КБ-1)","1","2","1","Математический анализ","пр","341","Пономарев А.В.","",""
"БАСО-01-19 10.05.03(КБ-1)","1","2","2","Математический анализ","пр","341","Пономарев А.В.","","'10'"
"БАСО-01-19 10.05.03(КБ-1)","1","3","1","Основы информационной безопасности","пр","370","Головченко Д.","",""
"БАСО-01-19 10.05.03(КБ-1)","1","3","2","Основы информационной безопасности","пр","455а","Головченко Д.","","'10'"
"БАСО-01-19 10.05.03(КБ-1)","1","4","1","Языки программирования","лек","381","Филатов В.В.","",""
"БАСО-01-19 10.05.03(КБ-1)","1","4","2","Языки программирования","лек","381","Филатов В.В.","","'10'"
"БАСО-01-19 10.05.03(КБ-1)","2","1","1","Физическая культура и спорт","пр","ФОК","","",""
"БАСО-01-19 10.05.03(КБ-1)","2","2","1","Физическая культура и спорт","пр","ФОК","","",""
"БАСО-01-19 10.05.03(КБ-1)","3","1","1","Физика","пр","В-78*
В-","","",""
"БАСО-01-19 10.05.03(КБ-1)","3","1","2","Информатика","пр","251а","Агафонова Д.","",""
"БАСО-01-19 10.05.03(КБ-1)","3","2","1","Физика","пр","В-78*
В-","","",""
"БАСО-01-19 10.05.03(КБ-1)","3","2","2","Информатика","пр","251а","Агафонова Д.","",""
"БАСО-01-19 10.05.03(КБ-1)","3","3","1","Физика","лр","В-78* В-411","","'1', '5', '9', '13'",""
"БАСО-01-19 10.05.03(КБ-1)","3","3","2","История","пр","258а","Красивская В.Н.","",""
"БАСО-01-19 10.05.03(КБ-1)","3","4","1","Физика","лр","В-78* В-411","","'1', '5', '9', '13'",""
"БАСО-01-19 10.05.03(КБ-1)","4","1","1","Линейная алгебра и аналитическая геометрия","лек","348","Акопян Р.С.","",""
"БАСО-01-19 10.05.03(КБ-1)","4","1","2","Линейная алгебра и аналитическая геометрия","лек","348","Акопян Р.С.","",""
